    Energy    <xanes>    
  11364.00  1.4724904E-02
  11364.04  1.4726325E-02
  11364.04  1.4726521E-02
  11364.04  1.4726641E-02
  11364.06  1.4727212E-02
  11364.06  1.4727295E-02
  11364.07  1.4727549E-02
  11364.07  1.4727808E-02
  11364.08  1.4727984E-02
  11364.08  1.4728252E-02
  11364.09  1.4728389E-02
  11364.09  1.4728667E-02
  11364.10  1.4728949E-02
  11364.10  1.4729189E-02
  11364.11  1.4729724E-02
  11364.12  1.4729823E-02
  11364.12  1.4730024E-02
  11364.12  1.4730178E-02
  11364.13  1.4730437E-02
  11364.13  1.4730490E-02
  11364.13  1.4730545E-02
  11364.13  1.4730600E-02
  11364.13  1.4730657E-02
  11364.13  1.4730714E-02
  11364.14  1.4730889E-02
  11364.14  1.4731007E-02
  11364.14  1.4731067E-02
  11364.14  1.4731250E-02
  11364.14  1.4731313E-02
  11364.15  1.4731504E-02
  11364.15  1.4731569E-02
  11364.15  1.4731704E-02
  11364.15  1.4731773E-02
  11364.15  1.4731980E-02
  11364.16  1.4732122E-02
  11364.16  1.4732265E-02
  11364.16  1.4732337E-02
  11364.16  1.4732776E-02
  11364.18  1.4734032E-02
  11364.19  1.4734406E-02
  11364.20  1.4735388E-02
  11364.20  1.4735616E-02
  11364.21  1.4736079E-02
  11364.21  1.4736390E-02
  11364.22  1.4736705E-02
  11364.22  1.4736786E-02
  11364.22  1.4736950E-02
  11364.22  1.4737198E-02
  11364.22  1.4737364E-02
  11364.23  1.4737533E-02
  11364.23  1.4737787E-02
  11364.23  1.4738130E-02
  11364.23  1.4738217E-02
  11364.24  1.4738304E-02
  11364.24  1.4738480E-02
  11364.24  1.4738658E-02
  11364.24  1.4739017E-02
  11364.25  1.4739560E-02
  11364.25  1.4740016E-02
  11364.26  1.4740472E-02
  11364.26  1.4740563E-02
  11364.26  1.4741019E-02
  11364.27  1.4741567E-02
  11364.27  1.4741841E-02
  11364.28  1.4742206E-02
  11364.28  1.4742297E-02
  11364.28  1.4742480E-02
  11364.28  1.4742571E-02
  11364.28  1.4742753E-02
  11364.29  1.4743119E-02
  11364.29  1.4743210E-02
  11364.30  1.4743849E-02
  11364.30  1.4743940E-02
  11364.30  1.4744305E-02
  11364.31  1.4745219E-02
  11364.31  1.4745310E-02
  11364.31  1.4745493E-02
  11364.32  1.4745949E-02
  11364.32  1.4746040E-02
  11364.32  1.4746314E-02
  11364.33  1.4746771E-02
  11364.33  1.4746862E-02
  11364.33  1.4747045E-02
  11364.33  1.4747228E-02
  11364.33  1.4747319E-02
  11364.34  1.4747411E-02
  11364.34  1.4747685E-02
  11364.34  1.4747959E-02
  11364.34  1.4748050E-02
  11364.35  1.4748416E-02
  11364.36  1.4749329E-02
  11364.38  1.4751066E-02
  11364.39  1.4752071E-02
  11364.39  1.4752163E-02
  11364.39  1.4752802E-02
  11364.40  1.4753259E-02
  11364.41  1.4754082E-02
  11364.41  1.4754173E-02
  11364.41  1.4754265E-02
  11364.41  1.4754448E-02
  11364.41  1.4754539E-02
  11364.42  1.4754722E-02
  11364.42  1.4754813E-02
  11364.92  1.4800625E-02
  11365.42  1.4846680E-02
  11365.92  1.4892982E-02
  11366.42  1.4939532E-02
  11366.92  1.4986333E-02
  11367.42  1.5033385E-02
  11367.92  1.5080691E-02
  11368.42  1.5128253E-02
  11368.92  1.5176074E-02
  11369.42  1.5224154E-02
  11369.92  1.5272497E-02
  11370.42  1.5321104E-02
  11370.92  1.5369977E-02
  11371.42  1.5419119E-02
  11371.92  1.5468531E-02
  11372.42  1.5518216E-02
  11372.92  1.5568177E-02
  11373.42  1.5618414E-02
  11373.92  1.5668931E-02
  11374.42  1.5719730E-02
  11374.92  1.5770813E-02
  11375.42  1.5822183E-02
  11375.92  1.5873841E-02
  11376.42  1.5925790E-02
  11376.92  1.5978033E-02
  11377.42  1.6030572E-02
  11377.92  1.6083410E-02
  11378.42  1.6136548E-02
  11378.92  1.6189989E-02
  11379.42  1.6243737E-02
  11379.92  1.6297793E-02
  11380.42  1.6352160E-02
  11380.92  1.6406841E-02
  11381.42  1.6461839E-02
  11381.92  1.6517155E-02
  11382.42  1.6572793E-02
  11382.92  1.6628756E-02
  11383.42  1.6685046E-02
  11383.92  1.6741666E-02
  11384.42  1.6798619E-02
  11384.92  1.6855908E-02
  11385.42  1.6913536E-02
  11385.92  1.6971505E-02
  11386.42  1.7029819E-02
  11386.92  1.7088480E-02
  11387.42  1.7147492E-02
  11387.92  1.7206858E-02
  11388.42  1.7266580E-02
  11388.92  1.7326663E-02
  11389.42  1.7387109E-02
  11389.92  1.7447921E-02
  11390.42  1.7509102E-02
  11390.92  1.7570657E-02
  11391.42  1.7632588E-02
  11391.92  1.7694898E-02
  11392.42  1.7757592E-02
  11392.92  1.7820672E-02
  11393.42  1.7884142E-02
  11393.92  1.7948005E-02
  11394.42  1.8012266E-02
  11394.92  1.8076928E-02
  11395.42  1.8141994E-02
  11395.92  1.8207468E-02
  11396.42  1.8273353E-02
  11396.92  1.8339655E-02
  11397.42  1.8406376E-02
  11397.92  1.8473521E-02
  11398.42  1.8541093E-02
  11398.92  1.8609096E-02
  11399.42  1.8677535E-02
  11399.92  1.8746413E-02
  11400.42  1.8815735E-02
  11400.92  1.8885505E-02
  11401.42  1.8955727E-02
  11401.92  1.9026405E-02
  11402.42  1.9097544E-02
  11402.92  1.9169149E-02
  11403.42  1.9241223E-02
  11403.92  1.9313771E-02
  11404.42  1.9386799E-02
  11404.92  1.9460309E-02
  11405.42  1.9534308E-02
  11405.92  1.9608800E-02
  11406.42  1.9683789E-02
  11406.92  1.9759281E-02
  11407.42  1.9835281E-02
  11407.92  1.9911793E-02
  11408.42  1.9988823E-02
  11408.92  2.0066376E-02
  11409.42  2.0144458E-02
  11409.92  2.0223072E-02
  11410.42  2.0302225E-02
  11410.92  2.0381923E-02
  11411.42  2.0462170E-02
  11411.92  2.0542972E-02
  11412.42  2.0624336E-02
  11412.92  2.0706266E-02
  11413.42  2.0788769E-02
  11413.92  2.0871850E-02
  11414.42  2.0955515E-02
  11414.92  2.1039771E-02
  11415.42  2.1124623E-02
  11415.92  2.1210079E-02
  11416.42  2.1296143E-02
  11416.92  2.1382823E-02
  11417.42  2.1470125E-02
  11417.92  2.1558055E-02
  11418.42  2.1646621E-02
  11418.92  2.1735828E-02
  11419.42  2.1825685E-02
  11419.92  2.1916198E-02
  11420.42  2.2007373E-02
  11420.92  2.2099218E-02
  11421.42  2.2191741E-02
  11421.92  2.2284949E-02
  11422.42  2.2378848E-02
  11422.92  2.2473448E-02
  11423.42  2.2568755E-02
  11423.92  2.2664777E-02
  11424.42  2.2761522E-02
  11424.92  2.2858999E-02
  11425.42  2.2957215E-02
  11425.92  2.3056179E-02
  11426.42  2.3155898E-02
  11426.92  2.3256383E-02
  11427.42  2.3357641E-02
  11427.92  2.3459680E-02
  11428.42  2.3562511E-02
  11428.92  2.3666142E-02
  11429.42  2.3770582E-02
  11429.92  2.3875841E-02
  11430.42  2.3981928E-02
  11430.92  2.4088853E-02
  11431.42  2.4196625E-02
  11431.92  2.4305254E-02
  11432.42  2.4414751E-02
  11432.92  2.4525126E-02
  11433.42  2.4636389E-02
  11433.92  2.4748551E-02
  11434.42  2.4861622E-02
  11434.92  2.4975613E-02
  11435.42  2.5090536E-02
  11435.92  2.5206402E-02
  11436.42  2.5323222E-02
  11436.92  2.5441008E-02
  11437.42  2.5559771E-02
  11437.92  2.5679524E-02
  11438.42  2.5800279E-02
  11438.92  2.5922048E-02
  11439.42  2.6044844E-02
  11439.92  2.6168679E-02
  11440.42  2.6293567E-02
  11440.92  2.6419522E-02
  11441.42  2.6546555E-02
  11441.92  2.6674682E-02
  11442.42  2.6803916E-02
  11442.92  2.6934271E-02
  11443.42  2.7065762E-02
  11443.92  2.7198403E-02
  11444.42  2.7332210E-02
  11444.92  2.7467197E-02
  11445.42  2.7603379E-02
  11445.92  2.7740774E-02
  11446.42  2.7879396E-02
  11446.92  2.8019261E-02
  11447.42  2.8160387E-02
  11447.92  2.8302791E-02
  11448.42  2.8446488E-02
  11448.92  2.8591498E-02
  11449.42  2.8737837E-02
  11449.92  2.8885523E-02
  11450.42  2.9034576E-02
  11450.92  2.9185014E-02
  11451.42  2.9336855E-02
  11451.92  2.9490120E-02
  11452.42  2.9644828E-02
  11452.92  2.9800999E-02
  11453.42  2.9958655E-02
  11453.92  3.0117815E-02
  11454.42  3.0278501E-02
  11454.92  3.0440735E-02
  11455.42  3.0604540E-02
  11455.92  3.0769937E-02
  11456.42  3.0936949E-02
  11456.92  3.1105601E-02
  11457.42  3.1275916E-02
  11457.92  3.1447918E-02
  11458.42  3.1621632E-02
  11458.92  3.1797084E-02
  11459.42  3.1974299E-02
  11459.92  3.2153304E-02
  11460.42  3.2334125E-02
  11460.92  3.2516791E-02
  11461.42  3.2701328E-02
  11461.92  3.2887766E-02
  11462.42  3.3076134E-02
  11462.92  3.3266461E-02
  11463.42  3.3458778E-02
  11463.92  3.3653115E-02
  11464.42  3.3849504E-02
  11464.92  3.4047978E-02
  11465.42  3.4248570E-02
  11465.92  3.4451312E-02
  11466.42  3.4656240E-02
  11466.92  3.4863388E-02
  11467.42  3.5072792E-02
  11467.92  3.5284489E-02
  11468.42  3.5498517E-02
  11468.92  3.5714912E-02
  11469.42  3.5933716E-02
  11469.92  3.6154966E-02
  11470.42  3.6378705E-02
  11470.92  3.6604974E-02
  11471.42  3.6833815E-02
  11471.92  3.7065272E-02
  11472.42  3.7299390E-02
  11472.92  3.7536214E-02
  11473.42  3.7775791E-02
  11473.92  3.8018169E-02
  11474.42  3.8263396E-02
  11474.92  3.8511522E-02
  11475.42  3.8762599E-02
  11475.92  3.9016678E-02
  11476.42  3.9273814E-02
  11476.92  3.9534061E-02
  11477.42  3.9797476E-02
  11477.92  4.0064115E-02
  11478.42  4.0334039E-02
  11478.92  4.0607306E-02
  11479.42  4.0883980E-02
  11479.92  4.1164123E-02
  11480.42  4.1447800E-02
  11480.92  4.1735078E-02
  11481.42  4.2026025E-02
  11481.92  4.2320712E-02
  11482.42  4.2619209E-02
  11482.92  4.2921591E-02
  11483.42  4.3227934E-02
  11483.92  4.3538313E-02
  11484.42  4.3852810E-02
  11484.92  4.4171505E-02
  11485.42  4.4494483E-02
